id,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating
215,Entire home/apt,4,1,2,128,5.0
216,Private room,2,1,1,53,5.0
217,Private room,2,2,1,54,5.0
218,Entire home/apt,4,1,2,102,4.9
219,Entire home/apt,4,1,2,131,5.0
220,Entire home/apt,3,1,1,116,4.8
221,Entire home/apt,2,1,1,82,4.9
222,Entire home/apt,4,1.5,2,94,5.0
223,Private room,2,4,1,55,4.9
224,Entire home/apt,2,1,2,91,5.0
225,Entire home/apt,4,1,2,90,4.0
226,Entire home/apt,3,1,1,77,5.0
227,Entire home/apt,10,1.5,4,164,5.0
228,Entire home/apt,4,1,2,96,4.9
229,Entire home/apt,7,3.5,4,267,5.0
230,Entire home/apt,2,1,1,84,4.9
231,Entire home/apt,6,2,3,168,5.0
232,Entire home/apt,12,3,4,183,4.8
233,Entire home/apt,6,1,4,189,4.8
234,Private room,1,3,1,51,4.9
235,Private room,1,3,1,51,4.9
236,Private room,2,3,1,59,5.0
237,Entire home/apt,3,1,0,72,4.8
238,Entire home/apt,4,1.5,2,102,5.0
239,Private room,2,3,1,58,4.9
240,Entire home/apt,2,1,1,81,4.7
241,Entire home/apt,2,1,0,64,4.6
242,Entire home/apt,3,1,1,107,4.8
243,Entire home/apt,3,1,1,107,4.6
244,Entire home/apt,6,1,3,116,4.9
245,Entire home/apt,4,2,2,91,4.5
246,Entire home/apt,3,1,0,62,4.9
247,Entire home/apt,4,1,2,94,4.2
248,Entire home/apt,2,1,1,53,5.0
249,Entire home/apt,4,1,2,114,4.9
250,Private room,3,1.5,2,106,5.0
251,Private room,2,1.5,1,87,5.0
252,Entire home/apt,16,4,5,307,4.6
253,Private room,1,1.5,1,51,5.0
254,Entire home/apt,5,1,3,77,4.4
255,Entire home/apt,2,1,1,53,4.5
256,Entire home/apt,5,1,2,140,5.0
257,Entire home/apt,3,1,1,148,5.0
258,Entire home/apt,4,1,1,75,5.0
259,Entire home/apt,4,1,2,136,4.7
260,Entire home/apt,2,1.5,1,76,4.8
261,Entire home/apt,2,1,0,93,5.0
262,Entire home/apt,5,1,2,94,4.9
263,Entire home/apt,2,1,1,71,4.7
264,Entire home/apt,5,1,1,99,4.9
265,Entire home/apt,2,1,1,87,4.9
266,Entire home/apt,4,1,1,90,4.9
267,Entire home/apt,4,1,1,87,4.9
268,Entire home/apt,2,1,1,90,3.8
269,Entire home/apt,4,1,2,119,4.8
270,Entire home/apt,2,1,1,64,4.8
271,Entire home/apt,2,1.5,1,94,5.0
272,Entire home/apt,5,1,2,96,4.7
273,Entire home/apt,3,1,1,75,4.0
274,Entire home/apt,4,1,2,153,5.0
275,Entire home/apt,2,1,2,70,5.0
276,Entire home/apt,7,2.5,3,225,5.0
277,Entire home/apt,2,1,1,107,5.0
278,Entire home/apt,4,1,1,81,4.8
279,Private room,1,0.5,1,50,5.0
280,Entire home/apt,4,1,1,80,4.7
281,Entire home/apt,3,1,1,89,4.7
282,Private room,1,1.5,1,52,5.0
283,Entire home/apt,3,1,1,107,4.6
284,Entire home/apt,12,2,6,338,3.0
285,Entire home/apt,4,2,2,128,5.0
286,Entire home/apt,6,2,4,213,5.0
287,Entire home/apt,6,2,3,257,4.9
288,Entire home/apt,2,1,0,69,4.9
289,Entire home/apt,2,1,0,66,5.0
290,Entire home/apt,2,1,0,64,4.9
291,Entire home/apt,4,1,0,120,4.7
292,Entire home/apt,3,1,1,85,4.9
293,Entire home/apt,6,1,4,250,4.9
294,Entire home/apt,4,1,2,112,5.0
295,Entire home/apt,2,1,1,80,4.9
296,Private room,1,1,1,42,4.7
297,Private room,1,3,8,46,5.0
298,Private room,2,1.5,1,58,5.0
299,Entire home/apt,4,1,3,99,4.4
300,Private room,1,1,1,55,5.0
301,Entire home/apt,5,1,3,120,5.0
302,Entire home/apt,3,1,1,165,4.5
303,Entire home/apt,6,1,3,150,4.5
304,Entire home/apt,7,1,3,145,4.5
305,Entire home/apt,3,1,1,118,5.0
306,Entire home/apt,4,1,1,74,4.8
307,Entire home/apt,2,1,1,81,5.0
308,Entire home/apt,2,1,1,58,4.9
309,Private room,2,1,1,75,4.4
310,Private room,1,1,1,73,4.8
311,Private room,1,1,1,41,4.8
312,Private room,2,1,1,92,5.0
313,Private room,1,1.5,1,52,5.0
314,Entire home/apt,2,1,1,71,4.5
315,Entire home/apt,2,1,1,83,4.3
316,Entire home/apt,2,1,1,81,4.7
317,Entire home/apt,5,1,2,131,4.7
318,Entire home/apt,2,1,0,68,4.8
319,Private room,2,1.5,1,75,4.0
320,Entire home/apt,2,1,1,76,4.9
321,Private room,2,1,1,49,5.0
322,Entire home/apt,6,1,3,164,5.0
323,Entire home/apt,6,2.5,3,168,1.0
324,Entire home/apt,10,1.5,4,156,4.7
325,Entire home/apt,4,1,2,92,5.0
326,Entire home/apt,2,1,1,71,3.0
327,Entire home/apt,2,1,1,81,5.0
328,Entire home/apt,2,1,1,71,4.3
329,Entire home/apt,2,1,1,66,2.0
330,Entire home/apt,2,1,1,68,4.6
331,Private room,2,1,1,38,5.0
332,Private room,2,1,1,36,5.0
333,Entire home/apt,6,1,2,100,4.9
334,Entire home/apt,2,1,1,107,4.7
335,Entire home/apt,5,1.5,2,104,3.8
336,Private room,2,1,1,44,5.0
337,Entire home/apt,6,1,3,106,5.0
338,Entire home/apt,8,1.5,3,170,4.9
339,Entire home/apt,2,1,1,103,4.5
340,Entire home/apt,10,1,3,109,4.3
341,Entire home/apt,6,2,2,126,5.0
342,Entire home/apt,6,1.5,3,159,4.9
343,Private room,1,3,8,57,5.0
344,Entire home/apt,4,1,2,103,4.5
345,Entire home/apt,8,2.5,4,257,5.0
346,Entire home/apt,4,1,2,112,4.0
347,Entire home/apt,4,1,1,72,5.0
348,Entire home/apt,2,1,1,74,5.0
349,Entire home/apt,2,1,1,64,5.0
350,Entire home/apt,2,1,1,74,5.0
351,Private room,2,1,1,51,5.0
352,Entire home/apt,3,1,1,49,3.7
353,Entire home/apt,3,1,1,55,5.0
354,Entire home/apt,2,1,1,50,5.0
355,Private room,1,1,1,35,5.0
